Account Length,Day Mins,Day Calls,Eve Mins,Eve Calls,Night Mins,Night Calls,Intl Mins,Intl Calls,Intl Charge,CustServ Calls,Churn
52,191.9,108,269.8,96,236.8,87,7.8,5,2.11,3,0
60,220.6,57,211.1,115,249.0,129,6.8,3,1.84,1,0
10,186.1,112,190.2,66,282.8,57,11.4,6,3.08,2,0
96,160.2,117,267.5,67,228.5,68,9.3,5,2.51,2,0
87,151.0,83,219.7,116,203.9,127,9.7,3,2.62,5,1
81,175.5,67,249.3,85,270.2,98,10.2,3,2.75,1,0
141,126.9,98,180.0,62,140.8,128,8.0,2,2.16,1,0
121,198.4,129,75.3,77,181.2,77,5.8,3,1.57,3,1
68,148.8,70,246.5,164,129.8,103,12.1,3,3.27,3,0
125,229.3,103,177.4,126,189.3,95,12.0,8,3.24,1,0
174,192.1,97,169.9,94,166.6,54,11.4,4,3.08,1,0
116,268.6,83,178.2,142,166.3,106,11.6,3,3.13,2,0
74,193.7,91,246.1,96,138.0,92,14.6,3,3.94,2,0
149,180.7,92,187.8,64,265.5,53,12.6,3,3.4,3,0
38,131.2,98,162.9,97,159.0,106,8.2,6,2.21,2,0
40,148.1,74,169.5,88,214.1,102,6.2,5,1.67,2,0
43,251.5,105,212.8,104,157.8,67,9.3,4,2.51,0,0
113,125.2,93,206.4,119,129.3,139,8.3,8,2.24,0,0
126,211.6,70,216.9,80,153.5,60,7.8,1,2.11,1,0
150,178.9,101,169.1,110,148.6,100,13.8,3,3.73,4,1
138,241.8,93,170.5,83,295.3,104,11.8,7,3.19,3,0
162,224.9,97,188.2,84,254.6,61,12.1,2,3.27,0,0
147,248.6,83,148.9,85,172.5,109,8.0,4,2.16,3,0
90,203.4,146,226.7,117,152.4,105,7.3,4,1.97,1,0
85,235.8,109,157.2,94,188.2,99,12.0,3,3.24,0,0
50,157.1,90,223.3,72,181.4,111,6.1,2,1.65,1,0
82,300.3,109,181.0,100,270.1,73,11.7,4,3.16,0,1
144,61.6,117,77.1,85,173.0,99,8.2,7,2.21,4,1
46,214.1,72,164.4,104,177.5,113,8.2,3,2.21,2,0
70,170.2,98,155.2,102,228.6,76,15.0,2,4.05,1,0
144,201.1,99,303.5,74,224.0,119,13.2,2,3.56,1,0
116,215.4,104,204.8,79,278.5,109,12.6,5,3.4,3,0
55,165.6,123,136.1,95,175.7,90,11.0,2,2.97,3,0
70,249.5,101,259.7,98,222.7,68,9.8,4,2.65,1,0
106,210.6,96,249.2,85,191.4,88,12.4,1,3.35,2,1
128,179.3,104,225.9,86,323.0,78,8.6,7,2.32,0,0
94,157.9,105,155.0,101,189.6,84,8.0,5,2.16,4,1
111,214.3,118,208.5,76,182.4,98,12.0,2,3.24,1,0
74,154.1,104,123.4,84,202.1,57,10.9,9,2.94,2,0
128,237.9,125,247.6,93,208.9,68,13.9,4,3.75,1,1
82,143.9,61,194.9,105,109.6,94,11.1,2,3.0,1,0
155,203.4,100,190.9,104,196.0,119,8.9,4,2.4,0,1
80,124.3,100,173.0,107,253.2,62,7.9,9,2.13,1,0
78,252.9,93,178.4,112,263.9,105,9.5,7,2.57,3,0
90,179.1,71,190.6,81,127.7,91,10.6,7,2.86,3,0
104,278.4,106,81.0,113,163.2,137,9.8,5,2.65,1,0
73,160.1,110,213.3,72,174.1,72,13.0,4,3.51,0,0
99,198.2,87,207.3,76,190.9,113,8.7,3,2.35,4,0
120,212.1,131,209.4,104,167.2,96,5.3,5,1.43,1,1
77,251.8,72,205.7,126,275.2,109,9.8,7,2.65,2,1
98,161.2,114,252.2,83,160.2,92,4.4,8,1.19,4,0
108,178.3,137,189.0,76,129.1,102,14.6,5,3.94,0,0
135,151.7,82,119.0,105,180.0,100,10.5,6,2.84,0,0
95,135.0,99,183.6,106,245.3,102,12.5,9,3.38,1,0
122,170.5,94,173.7,109,248.6,75,11.3,2,3.05,1,0
95,238.1,65,187.2,98,190.0,115,11.8,4,3.19,4,0
36,281.4,102,202.2,76,187.2,113,9.0,6,2.43,2,0
93,117.9,131,164.5,115,217.0,86,9.8,3,2.65,1,0
141,148.6,91,131.1,97,219.4,142,10.1,1,2.73,1,0
157,229.8,90,147.9,121,241.4,108,9.6,7,2.59,3,0
120,165.0,100,317.2,83,119.2,86,8.3,8,2.24,1,0
103,185.0,117,223.3,94,222.8,91,12.6,2,3.4,2,0
98,161.0,117,190.9,113,227.7,113,12.1,4,3.27,4,0
125,126.7,108,206.0,90,247.8,114,13.3,7,3.59,1,0
63,58.9,125,169.6,59,211.4,88,9.4,3,2.54,1,0
36,196.8,89,254.9,122,138.3,126,20.0,6,5.4,0,1
64,162.6,83,152.3,109,57.5,122,14.2,3,3.83,1,0
74,282.5,114,219.9,48,170.0,115,9.4,4,2.54,1,1
112,113.7,117,157.5,82,177.6,118,10.0,3,2.7,2,0
97,239.8,125,214.8,111,143.3,81,8.7,5,2.35,2,0
46,210.2,92,227.3,77,200.1,116,13.1,7,3.54,1,0
41,213.8,102,141.8,86,142.2,123,7.2,3,1.94,0,0
121,190.7,103,183.5,117,220.8,103,9.8,4,2.65,3,0
193,170.9,124,132.3,95,112.9,89,11.6,3,3.13,1,0
130,154.2,119,110.2,98,227.4,117,9.2,5,2.48,2,0
85,201.4,52,229.4,104,252.5,106,12.0,3,3.24,1,0
162,70.7,108,157.5,87,154.8,82,9.1,3,2.46,4,1
61,187.5,124,146.6,103,225.7,129,6.4,6,1.73,4,1
92,91.7,90,193.7,123,175.0,86,9.2,4,2.48,2,0
131,214.2,115,161.7,117,264.7,102,9.5,4,2.57,3,0
90,145.5,92,217.7,114,146.9,123,10.9,2,2.94,3,0
75,166.3,125,158.2,86,256.7,80,6.1,5,1.65,1,0
78,231.0,115,230.4,140,261.4,120,9.5,3,2.57,1,0
82,200.3,96,201.2,102,206.1,60,7.1,1,1.92,4,0
163,197.0,109,202.6,128,206.4,80,9.1,10,2.46,1,0
91,129.9,112,173.3,83,247.2,130,11.2,3,3.02,3,0
75,175.8,97,217.5,106,237.5,134,5.3,4,1.43,5,0
91,203.1,106,210.1,113,195.6,129,12.0,3,3.24,3,0
127,183.2,117,126.8,76,263.3,71,11.2,8,3.02,1,0
113,205.0,101,152.0,60,158.6,59,10.2,5,2.75,2,0
110,148.5,115,276.4,84,193.6,112,12.4,3,3.35,1,0
120,200.3,68,220.4,97,253.8,116,10.5,4,2.84,0,0
157,192.6,107,195.5,74,109.7,139,6.8,5,1.84,3,0
103,246.5,47,195.5,84,200.5,96,11.7,4,3.16,1,0
117,167.1,86,177.5,87,249.4,132,14.1,7,3.81,2,1
140,231.9,101,160.1,94,110.4,98,14.3,6,3.86,3,0
127,146.7,91,203.5,78,203.4,110,13.7,3,3.7,1,0
83,271.5,87,216.3,126,121.1,105,11.7,4,3.16,1,0
121,181.5,121,218.4,98,161.6,103,8.5,5,2.3,1,0
145,257.7,97,162.1,95,286.9,86,11.1,4,3.0,2,0
113,193.8,99,221.4,125,172.3,67,10.6,6,2.86,1,0
117,102.8,119,206.7,91,299.0,105,10.1,7,2.73,1,0
65,187.9,116,157.6,117,227.3,86,7.5,6,2.03,1,0
56,226.0,112,248.5,118,140.5,142,6.9,11,1.86,1,0
96,260.4,115,146.0,46,269.5,87,11.5,4,3.11,5,0
151,178.7,116,292.1,138,265.9,101,9.8,4,2.65,0,0
83,337.4,120,227.4,116,153.9,114,15.8,7,4.27,0,1
139,157.6,129,247.0,96,259.2,112,13.7,2,3.7,0,0
6,183.6,117,256.7,72,178.6,79,10.2,2,2.75,1,0
115,142.1,124,183.4,129,164.8,114,9.6,4,2.59,1,0
87,136.3,97,172.2,108,137.5,101,7.1,5,1.92,0,0
141,217.1,110,241.5,111,253.5,103,12.0,6,3.24,0,0
141,187.5,99,241.4,116,229.5,105,10.5,5,2.84,3,0
62,98.9,103,135.4,122,236.6,82,12.2,1,3.29,1,0
146,206.3,151,148.6,89,167.2,91,6.1,3,1.65,1,0
92,243.1,92,213.8,92,228.7,104,12.1,2,3.27,2,0
185,189.8,126,163.3,133,264.8,126,7.5,3,2.03,1,0
148,202.0,102,243.2,128,261.3,90,10.9,3,2.94,1,0
94,170.1,124,193.3,116,105.9,73,12.8,4,3.46,1,0
32,230.9,87,187.4,90,154.0,53,6.3,2,1.7,0,0
68,237.1,105,223.5,105,97.4,79,13.2,2,3.56,1,0
64,182.1,91,169.7,98,164.7,86,10.6,5,2.86,2,0
25,119.3,87,211.5,101,268.9,86,10.5,4,2.84,3,0
65,116.8,87,178.9,93,182.4,150,14.1,2,3.81,1,0
179,219.2,92,149.4,125,244.7,104,6.1,5,1.65,0,0
94,252.6,104,169.0,125,170.9,106,11.1,7,3.0,2,0
62,147.1,91,190.4,107,195.2,115,12.2,3,3.29,0,0
127,202.1,103,229.4,86,195.2,113,11.5,3,3.11,2,0
116,173.5,93,194.1,76,208.0,112,16.2,10,4.37,3,0
70,232.1,122,292.3,112,201.2,112,0.0,0,0.0,3,0
94,197.1,125,214.5,136,282.2,103,9.5,5,2.57,4,0
126,58.2,94,138.7,118,136.8,91,11.9,1,3.21,5,1
67,115.6,111,237.7,94,169.9,103,9.9,12,2.67,2,0
19,186.1,98,254.3,57,214.0,127,14.6,7,3.94,2,0
170,259.9,68,245.0,122,134.4,121,8.4,3,2.27,3,0
73,214.3,145,268.5,135,241.2,92,10.8,13,2.92,1,0
106,158.7,74,64.3,139,198.5,103,10.2,4,2.75,1,0
93,271.6,71,229.4,108,77.3,121,10.9,3,2.94,2,0
164,160.6,111,163.2,126,187.1,112,9.0,3,2.43,1,0
51,232.4,109,187.4,95,231.2,107,9.1,3,2.46,1,0
107,133.8,85,180.5,94,112.2,115,8.9,4,2.4,0,0
130,176.9,109,90.7,104,238.0,69,9.5,2,2.57,1,0
80,209.9,74,195.1,77,208.2,119,8.8,4,2.38,2,0
94,137.5,118,203.2,88,150.0,131,13.4,2,3.62,0,0
118,289.5,52,166.6,111,119.1,88,9.5,4,2.57,1,0
117,198.1,86,177.0,86,180.5,92,6.8,6,1.84,1,0
78,149.7,119,182.2,115,261.5,126,9.7,8,2.62,0,0
208,326.5,67,176.3,113,181.7,102,10.7,6,2.89,2,1
131,292.9,101,199.7,97,255.3,127,13.8,7,3.73,4,1
63,83.0,64,177.0,106,245.7,89,13.0,3,3.51,0,0
53,145.7,146,220.5,136,249.9,96,13.1,5,3.54,3,0
62,182.3,101,328.2,93,245.0,131,11.2,1,3.02,2,0
97,218.0,86,184.0,94,240.5,110,6.4,8,1.73,3,0
105,140.6,109,178.6,51,217.0,83,6.8,3,1.84,2,0
157,152.7,105,257.5,80,198.1,93,9.4,4,2.54,1,0
66,106.7,76,209.8,77,190.4,117,12.1,2,3.27,1,0
122,243.8,98,83.9,72,179.8,84,13.7,8,3.7,2,0
38,194.4,94,186.7,95,223.3,90,10.8,5,2.92,3,0
106,213.9,95,151.9,70,260.1,124,12.2,5,3.29,3,0
99,217.2,112,246.7,89,226.1,89,15.8,7,4.27,3,0
99,241.1,72,155.6,98,188.2,109,11.6,10,3.13,1,0
144,203.5,100,247.6,103,194.3,94,11.9,11,3.21,0,0
82,155.2,131,244.5,106,122.4,68,10.7,3,2.89,1,0
86,167.6,139,113.0,118,246.9,121,12.2,6,3.29,1,0
70,226.7,98,228.1,115,73.2,93,17.6,4,4.75,2,1
93,179.3,93,178.6,98,225.2,131,11.5,6,3.11,3,0
93,151.4,89,186.4,76,172.5,120,10.9,3,2.94,0,0
120,180.0,80,224.2,82,265.4,91,4.7,7,1.27,3,0
136,250.2,121,267.1,118,151.0,114,13.0,2,3.51,1,1
106,223.0,121,110.1,98,188.7,107,7.1,12,1.92,0,0
81,183.6,116,152.6,98,212.2,99,12.2,6,3.29,3,0
127,166.0,114,174.5,103,244.9,68,10.2,6,2.75,1,0
65,136.1,112,272.9,96,220.2,104,4.4,2,1.19,1,0
35,149.3,113,242.2,122,174.3,104,8.9,6,2.4,2,0
88,65.4,97,168.2,76,236.0,113,13.8,1,3.73,2,0
65,213.4,111,234.5,94,250.1,123,2.7,4,0.73,1,0
123,206.9,85,244.7,78,221.5,136,7.7,2,2.08,3,0
126,186.2,78,189.6,83,76.5,139,9.6,3,2.59,2,0
104,280.2,136,220.5,92,136.9,102,13.3,3,3.59,4,0
45,196.6,84,313.2,92,163.3,108,11.9,3,3.21,0,0
93,312.0,109,129.4,100,217.6,74,10.5,2,2.84,0,1
63,199.0,110,291.3,111,197.6,92,11.0,6,2.97,1,0
100,203.1,96,217.0,126,180.9,122,13.5,2,3.65,3,0
53,168.8,97,220.3,87,154.3,113,10.9,2,2.94,0,0
92,173.1,140,240.3,105,233.2,117,9.0,5,2.43,1,0
139,134.4,106,211.3,98,193.6,125,10.2,2,2.75,5,1
110,202.6,103,118.8,128,234.9,98,9.0,9,2.43,2,0
110,74.5,117,200.8,98,192.2,101,9.8,7,2.65,3,0
215,83.6,148,120.9,91,226.6,110,10.7,9,2.89,0,0
73,192.2,86,168.6,116,139.8,87,9.4,6,2.54,1,0
138,220.2,89,88.3,125,195.3,79,12.9,5,3.48,0,0
137,135.1,95,134.1,102,223.1,81,12.3,2,3.32,2,1
36,253.4,77,182.4,151,275.8,103,8.4,2,2.27,1,0
85,225.0,81,176.9,63,194.3,110,7.1,2,1.92,3,0
108,198.5,99,267.8,60,354.9,75,9.4,3,2.54,0,1
22,110.3,107,166.5,93,202.3,96,9.5,5,2.57,0,0
107,60.0,102,102.2,80,261.8,106,11.1,3,3.0,0,0
51,214.8,94,149.7,58,283.4,66,10.2,5,2.75,0,0
94,181.8,85,202.4,98,245.9,97,9.2,2,2.48,4,0
119,154.0,114,278.0,137,228.4,112,11.8,4,3.19,2,0
33,157.4,99,117.9,80,279.2,79,13.9,11,3.75,4,1
106,207.9,91,172.0,109,191.8,143,14.4,7,3.89,4,0
82,207.0,90,232.9,83,172.4,108,9.1,8,2.46,3,0
86,119.0,101,230.0,134,236.9,58,9.5,3,2.57,0,0
97,143.7,117,273.0,82,178.3,81,10.9,3,2.94,0,0
106,165.9,126,216.5,93,173.1,86,14.1,8,3.81,4,0
108,138.6,122,172.3,117,231.6,92,9.8,3,2.65,1,0
114,84.7,118,249.9,86,193.4,95,14.5,8,3.92,1,0
92,62.6,111,180.6,126,221.7,80,10.4,2,2.81,1,1
59,155.2,79,235.3,123,169.4,80,8.7,4,2.35,1,0
24,164.9,110,209.3,105,231.2,55,6.7,9,1.81,1,0
151,134.5,88,143.1,112,223.9,61,15.4,1,4.16,1,0
117,143.3,103,211.3,108,185.2,96,11.5,3,3.11,1,0
78,168.3,110,221.2,73,241.0,136,12.5,1,3.38,1,0
155,262.4,55,194.6,113,146.5,85,8.3,6,2.24,2,0
114,206.2,79,260.0,91,291.6,83,11.4,6,3.08,1,0
114,225.8,94,193.0,117,232.4,100,8.4,9,2.27,4,0
119,138.3,89,170.5,78,263.9,98,13.5,6,3.65,3,0
64,94.4,104,136.2,101,147.4,89,4.5,4,1.22,0,0
118,160.0,123,175.4,96,184.8,99,9.9,3,2.67,2,0
101,206.6,105,224.9,117,249.9,100,14.6,3,3.94,0,0
117,134.7,121,180.0,83,200.9,104,7.7,3,2.08,1,0
49,214.4,78,235.2,100,206.2,107,8.0,13,2.16,3,0
139,192.8,104,234.4,96,203.2,101,13.0,3,3.51,3,0
92,151.1,90,194.8,79,239.2,114,10.0,3,2.7,1,0
83,221.4,103,231.8,103,122.5,100,9.8,5,2.65,3,0
148,218.9,88,208.0,85,203.3,99,11.1,4,3.0,0,0
144,189.8,96,123.4,67,214.2,106,6.5,2,1.76,2,1
131,192.7,85,225.9,105,254.2,59,10.9,6,2.94,2,0
146,204.4,135,219.1,90,222.7,114,10.5,6,2.84,3,0
143,172.3,97,174.0,108,188.2,119,13.0,4,3.51,2,0
81,198.4,93,210.9,108,193.3,71,10.4,6,2.81,2,0
48,211.7,115,159.9,84,144.1,80,12.2,1,3.29,1,0
86,221.6,74,288.4,100,240.3,105,9.0,2,2.43,1,0
71,197.9,108,181.5,109,281.4,56,6.7,5,1.81,3,0
145,147.5,90,175.7,108,252.1,102,15.6,3,4.21,2,0
137,206.4,122,128.0,102,194.5,84,8.8,5,2.38,2,0
137,205.9,88,209.3,86,289.9,84,14.5,4,3.92,2,0
167,207.6,88,132.4,63,255.2,98,14.1,5,3.81,0,0
89,303.9,95,260.9,114,312.1,89,5.3,3,1.43,1,1
199,230.6,121,219.4,99,299.3,94,8.0,2,2.16,0,0
132,99.5,110,129.1,80,125.1,124,9.7,3,2.62,0,0
94,177.1,112,194.0,112,146.7,108,5.9,4,1.59,1,0
96,172.7,93,120.1,116,216.1,86,10.3,5,2.78,5,1
96,172.7,86,133.4,113,259.5,70,9.8,3,2.65,1,0
166,204.2,115,179.9,152,216.8,109,9.5,5,2.57,1,0
74,85.7,83,247.7,67,142.4,85,10.1,5,2.73,2,0
36,157.6,117,184.3,58,240.4,99,11.9,1,3.21,0,0
113,215.5,129,218.7,117,207.1,91,6.6,9,1.78,4,0
94,181.5,98,199.9,88,287.7,114,6.6,5,1.78,1,0
67,171.7,80,110.4,81,195.4,111,11.9,4,3.21,2,0
127,266.6,106,264.8,168,207.2,119,5.9,2,1.59,1,1
121,170.4,108,350.5,68,297.0,87,11.2,3,3.02,0,1
158,158.0,106,292.5,114,241.1,89,9.1,4,2.46,1,0
136,92.0,117,253.6,77,214.1,90,10.3,10,2.78,1,0
196,234.0,109,249.5,114,173.1,70,9.1,5,2.46,2,0
113,272.1,111,268.5,118,213.8,105,8.5,10,2.3,1,1
122,296.4,99,214.8,89,133.9,107,11.4,3,3.08,4,1
112,194.4,101,190.3,82,183.4,107,11.4,2,3.08,0,0
209,227.2,128,258.4,92,183.5,74,8.9,4,2.4,3,0
62,248.7,109,220.0,118,265.7,78,13.2,2,3.56,1,1
110,236.3,102,195.9,112,183.5,82,9.7,6,2.62,1,0
16,205.6,69,169.5,93,220.1,64,10.9,3,2.94,0,0
73,94.1,136,280.3,122,205.0,77,9.8,4,2.65,0,0
128,125.2,99,205.4,107,254.4,111,18.9,2,5.1,0,0
39,60.4,158,306.2,120,123.9,46,12.4,3,3.35,1,0
103,121.0,105,270.4,100,160.5,76,7.7,4,2.08,2,0
119,117.8,66,256.8,114,147.6,76,7.6,3,2.05,3,0
173,232.4,96,211.9,118,273.0,102,5.0,5,1.35,3,0
128,223.5,81,188.8,74,154.9,101,9.4,2,2.54,2,1
86,176.3,79,259.2,97,287.4,78,6.2,3,1.67,0,0
114,125.2,79,177.8,105,232.4,89,12.9,3,3.48,1,0
104,138.7,107,256.9,113,234.9,74,10.0,3,2.7,0,0
148,86.3,134,246.6,92,251.6,91,11.3,4,3.05,1,0
129,207.0,91,154.9,121,245.1,112,13.4,5,3.62,3,0
100,58.8,104,219.5,107,152.3,118,7.1,3,1.92,0,0
121,68.7,95,209.2,69,197.4,42,11.4,4,3.08,1,0
143,239.2,109,235.5,112,156.3,95,9.5,4,2.57,1,0
76,198.3,130,217.1,86,188.4,96,12.5,3,3.38,0,0
158,205.2,97,240.6,77,79.7,108,14.4,12,3.89,0,0
116,192.1,98,312.9,135,130.2,94,7.9,2,2.13,3,0
54,272.6,83,248.7,74,197.4,111,9.5,2,2.57,1,1
86,128.3,121,197.1,93,138.4,152,12.2,5,3.29,7,1
108,169.6,99,264.1,87,206.3,78,9.3,4,2.51,0,0
66,201.3,95,152.8,66,233.2,101,7.5,4,2.03,1,0
151,214.7,97,138.5,90,169.1,44,8.6,4,2.32,1,0
99,169.2,70,271.5,77,170.2,104,10.6,2,2.86,0,0
55,194.1,121,176.6,110,302.8,136,7.0,7,1.89,2,0
77,233.8,104,266.5,94,212.7,104,7.6,3,2.05,2,0
78,225.1,67,199.2,127,175.5,102,14.6,2,3.94,0,0
89,213.0,63,176.6,71,262.6,126,9.1,1,2.46,1,1
101,183.9,115,255.9,101,275.0,145,10.8,11,2.92,1,0
44,221.8,105,161.7,85,227.7,62,14.0,7,3.78,0,0
98,64.6,98,176.1,86,244.8,84,0.0,0,0.0,2,0
64,154.6,92,83.4,103,165.9,99,13.3,3,3.59,1,0
141,260.2,131,179.2,120,135.0,119,7.2,8,1.94,3,0
81,161.6,117,123.0,90,261.3,101,12.2,5,3.29,1,0
162,220.6,117,155.2,121,186.7,89,10.5,11,2.84,1,0
83,155.9,122,162.3,107,127.6,105,13.1,5,3.54,3,0
100,107.0,63,105.7,67,243.1,74,12.8,3,3.46,4,1
59,182.5,104,204.7,95,229.9,100,11.3,8,3.05,4,0
179,220.1,78,234.3,71,237.3,85,10.1,4,2.73,4,0
79,152.2,112,177.2,132,96.4,87,5.3,3,1.43,1,0
117,181.5,95,205.1,88,204.0,82,14.7,9,3.97,2,0
64,236.2,77,218.6,85,194.1,97,13.2,2,3.56,2,1
31,166.1,105,79.3,93,213.7,98,12.7,2,3.43,1,0
124,244.6,89,188.8,80,206.0,114,11.3,4,3.05,1,0
122,134.2,85,227.3,132,122.4,96,8.5,2,2.3,2,0
37,149.7,122,211.1,75,114.3,90,9.2,4,2.48,1,0
90,150.1,109,264.7,103,178.4,97,5.8,4,1.57,1,0
159,257.1,53,312.2,127,183.0,82,8.8,6,2.38,1,1
148,124.4,83,179.7,81,253.0,99,11.3,6,3.05,0,0
39,141.7,121,232.3,113,222.1,131,12.0,5,3.24,1,0
77,230.0,87,103.2,138,309.6,136,11.3,3,3.05,2,0
194,162.3,88,213.7,118,192.1,81,10.9,2,2.94,0,0
154,350.8,75,216.5,94,253.9,100,10.1,9,2.73,1,1
112,193.3,96,264.1,123,128.6,115,9.1,3,2.46,4,0
45,78.2,127,253.4,108,255.0,100,18.0,3,4.86,1,0
132,83.4,110,232.2,137,146.7,114,7.6,5,2.05,1,0
128,195.6,99,267.8,120,164.9,76,16.0,2,4.32,0,0
135,201.8,81,225.0,114,204.4,82,10.3,6,2.78,1,0
56,197.0,110,222.8,102,225.3,91,10.6,6,2.86,2,0
151,218.0,57,114.4,88,269.2,95,12.4,1,3.35,0,1
32,164.8,98,229.9,96,167.3,108,14.8,2,4.0,2,0
90,179.2,77,210.7,99,276.9,58,9.2,6,2.48,2,0
87,214.0,113,180.0,114,134.5,82,10.6,5,2.86,0,0
138,170.5,87,118.2,116,187.9,111,11.2,7,3.02,2,0
79,205.7,123,214.5,108,226.1,106,6.7,18,1.81,1,0
95,165.5,84,286.2,112,198.9,89,11.5,2,3.11,1,1
127,221.0,100,160.7,113,233.1,96,6.8,4,1.84,2,0
137,242.1,118,191.0,93,218.6,50,14.7,2,3.97,3,0
97,151.6,107,155.4,96,240.0,112,14.7,4,3.97,1,0
149,176.2,87,145.0,81,249.5,92,5.7,4,1.54,0,0
117,196.0,82,322.7,82,225.6,120,3.7,5,1.0,1,0
84,159.5,125,247.1,90,187.9,82,7.2,4,1.94,2,0
137,230.2,113,220.4,79,204.7,111,10.7,7,2.89,4,0
99,146.7,64,274.0,99,321.3,98,8.9,1,2.4,3,0
54,210.5,102,204.5,83,127.8,53,8.5,5,2.3,1,0
85,102.0,95,270.2,139,148.2,105,10.7,3,2.89,1,0
150,126.0,99,238.5,73,285.1,100,10.2,6,2.75,3,0
43,168.4,125,243.8,89,214.7,102,11.1,2,3.0,1,0
35,105.6,129,258.2,129,213.1,77,8.7,3,2.35,0,0
98,206.5,92,176.2,152,232.8,115,12.4,5,3.35,5,0
112,217.1,76,205.2,100,185.7,91,9.4,3,2.54,2,0
16,229.6,78,205.7,108,166.2,91,10.8,2,2.92,0,1
98,278.3,89,93.4,143,107.6,42,9.7,5,2.62,0,0
84,138.6,102,199.0,93,204.1,137,7.8,4,2.11,0,0
94,234.4,103,279.3,109,234.2,121,2.0,2,0.54,1,1
84,181.5,129,130.7,112,186.5,118,8.5,4,2.3,1,0
66,167.3,91,230.0,68,191.7,118,10.6,5,2.86,1,1
98,121.0,105,218.9,98,226.7,110,12.0,1,3.24,1,0
74,221.1,124,110.8,94,240.1,112,10.6,3,2.86,0,0
96,145.8,108,192.2,89,165.1,96,9.9,2,2.67,1,0
119,222.8,122,163.2,107,160.6,112,11.2,6,3.02,1,0
73,183.4,80,242.0,115,201.4,100,7.5,3,2.03,4,0
92,264.3,91,160.9,115,198.6,73,9.3,5,2.51,0,0
21,146.0,78,109.7,79,247.4,108,6.8,7,1.84,0,0
